distance,value
1200,1600
1400,1870
1600,2130
1800,2400
2000,2660
2200,2930
2400,3200
2600,3460
2800,3730
3000,3990
3200,4260
3400,4530
3600,4790
3800,5060
4000,5320
4200,5590
4400,5860
4600,6120
4800,6390
5000,6650
