weight,altitude,temperature,value
4500,0,0,2226
4500,0,10,2299
4500,0,20,2373
4500,0,30,2448
4500,0,40,2522
4500,0,50,2596
4500,1000,0,2300
4500,1000,10,2377
4500,1000,20,2454
4500,1000,30,2531
4500,1000,40,2608
4500,1000,50,2685
4500,2000,0,2378
4500,2000,10,2458
4500,2000,20,2538
4500,2000,30,2618
4500,2000,40,2698
4500,2000,50,2778
4500,3000,0,2460
4500,3000,10,2542
4500,3000,20,2626
4500,3000,30,2709
4500,3000,40,2792
4500,3000,50,2876
4500,4000,0,2545
4500,4000,10,2631
4500,4000,20,2718
4500,4000,30,2804
4500,4000,40,2891
4500,4000,50,2978
4500,5000,0,2634
4500,5000,10,2724
4500,5000,20,2814
4500,5000,30,2904
4500,5000,40,2994
4500,5000,50,3084
4500,6000,0,2728
4500,6000,10,2822
4500,6000,20,2915
4500,6000,30,3009
4500,6000,40,3102
4500,6000,50,3196
4500,7000,0,2826
4500,7000,10,2924
4500,7000,20,3021
4500,7000,30,3118
4500,7000,40,3216
4500,7000,50,3313
4500,8000,0,2963
4500,8000,10,3066
4500,8000,20,3168
4500,8000,30,3270
4500,8000,40,3373
4500,8000,50,3476
4500,9000,0,3133
4500,9000,10,3242
4500,9000,20,3350
4500,9000,30,3459
4500,9000,40,3568
4500,9000,50,3677
4500,10000,0,3313
4500,10000,10,3428
4500,10000,20,3544
4500,10000,30,3659
4500,10000,40,3775
4500,10000,50,3891
5550,0,0,3061
5550,0,10,3154
5550,0,20,3247
5550,0,30,3340
5550,0,40,3433
5550,0,50,3527
5550,1000,0,3155
5550,1000,10,3251
5550,1000,20,3347
5550,1000,30,3444
5550,1000,40,3542
5550,1000,50,3639
5550,2000,0,3252
5550,2000,10,3353
5550,2000,20,3453
5550,2000,30,3554
5550,2000,40,3655
5550,2000,50,3757
5550,3000,0,3355
5550,3000,10,3459
5550,3000,20,3564
5550,3000,30,3669
5550,3000,40,3774
5550,3000,50,3880
5550,4000,0,3462
5550,4000,10,3571
5550,4000,20,3680
5550,4000,30,3789
5550,4000,40,3899
5550,4000,50,4009
5550,5000,0,3575
5550,5000,10,3688
5550,5000,20,3802
5550,5000,30,3916
5550,5000,40,4030
5550,6000,0,3693
5550,6000,10,3811
5550,6000,20,3930
5550,6000,30,4048
5550,6000,40,4167
5550,7000,0,3818
5550,7000,10,3940
5550,7000,20,4064
5550,7000,30,4187
5550,7000,40,4311
5550,8000,0,3994
5550,8000,10,4123
5550,8000,20,4253
5550,8000,30,4383
5550,8000,40,4514
5550,9000,0,4214
5550,9000,10,4351
5550,9000,20,4490
5550,9000,30,4628
5550,9000,40,4767
5550,10000,0,4447
5550,10000,10,4593
5550,10000,20,4740
5550,10000,30,4887
