weight,altitude,temperature,value
5550,0,0,1537
5550,0,10,1593
5550,0,20,1650
5550,0,30,1706
5550,0,40,1762
5550,1000,0,1594
5550,1000,10,1652
5550,1000,20,1711
5550,1000,30,1769
5550,1000,40,1827
5550,2000,0,1653
5550,2000,10,1714
5550,2000,20,1774
5550,2000,30,1835
5550,2000,40,1895
5550,3000,0,1715
5550,3000,10,1778
5550,3000,20,1841
5550,3000,30,1903
5550,4000,0,1780
5550,4000,10,1845
5550,4000,20,1910
5550,4000,30,1975
5550,5000,0,1847
5550,5000,10,1915
5550,5000,20,1983
5550,5000,30,2050
5550,6000,0,1918
5550,6000,10,1988
5550,6000,20,2059
5550,6000,30,2129
5550,7000,0,1992
5550,7000,10,2065
5550,7000,20,2138
5550,8000,0,2093
5550,8000,10,2170
5550,8000,20,2247
5550,9000,0,2218
5550,9000,10,2300
5550,9000,20,2381
5550,10000,0,2350
5550,10000,10,2437
4500,0,0,1246
4500,0,10,1292
4500,0,20,1338
4500,0,30,1383
4500,0,40,1429
4500,0,50,1474
4500,1000,0,1292
4500,1000,10,1340
4500,1000,20,1387
4500,1000,30,1434
4500,1000,40,1482
4500,1000,50,1529
4500,2000,0,1340
4500,2000,10,1389
4500,2000,20,1439
4500,2000,30,1488
4500,2000,40,1537
4500,2000,50,1586
4500,3000,0,1391
4500,3000,10,1442
4500,3000,20,1492
4500,3000,30,1543
4500,3000,40,1594
4500,4000,0,1443
4500,4000,10,1496
4500,4000,20,1549
4500,4000,30,1602
4500,4000,40,1654
4500,5000,0,1498
4500,5000,10,1553
4500,5000,20,1608
4500,5000,30,1662
4500,5000,40,1717
4500,6000,0,1555
4500,6000,10,1612
4500,6000,20,1669
4500,6000,30,1726
4500,6000,40,1783
4500,7000,0,1615
4500,7000,10,1674
4500,7000,20,1733
4500,7000,30,1793
4500,7000,40,1852
4500,8000,0,1697
4500,8000,10,1760
4500,8000,20,1822
4500,8000,30,1884
4500,9000,0,1799
4500,9000,10,1865
4500,9000,20,1930
4500,9000,30,1996
4500,10000,0,1906
4500,10000,10,1976
4500,10000,20,2045
4500,10000,30,2115
